,LICENCE_NO,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
513,11204122,MA36,27500.0,30000.0,,
514,11204122,MA37,27500.0,30000.0,,
515,11204122,MA38,27500.0,30000.0,,
516,11204122,MA39,27500.0,30000.0,,
517,11204122,MA40,27500.0,30000.0,,
518,11204122,MA41,27500.0,30000.0,,
519,11204122,MA42,27500.0,30000.0,,
520,11204122,MA43,27500.0,30000.0,,
521,11204122,MA44,27500.0,30000.0,,
522,11204122,MA45,27500.0,30000.0,,
523,11204122,MA46,27500.0,30000.0,,
524,11204122,MA47,27500.0,30000.0,,
525,11204122,MA48,27500.0,30000.0,,
526,11204122,MA49,27500.0,30000.0,,
527,11204122,MA50,27500.0,30000.0,,
528,11204122,MA51,27500.0,30000.0,,
